signal,banks_flagged,service_line,weight
funding_liquidity,946,KR RAS (partial): Internal Audit of liquidity/funding risk controls; ALM advisory is another practice,10
excess_capital,820,Refer: capital deployment / M&A (other KR practice); RAS angle = M&A compliance due diligence,5
weak_efficiency,801,KR RAS: Robotic Process Automation (RPA) + Internal Audit process review,15
credit_deterioration,720,KR RAS: Internal Audit loan review + CECL model validation + ALLL/CECL governance,18
high_uninsured_deposits,615,KR RAS: liquidity/funding risk assessment + Internal Audit — deposit base concentrated in uninsured accounts (the SVB/Signature/First Republic profile),22
weak_profitability,612,Refer: earnings / margin advisory (other KR practice); RAS angle = cost automation via RPA,5
ag_concentration,445,KR RAS: agricultural loan review + credit risk review — concentration exposed to commodity-price / farm-income cycles,12
thin_cre_cushion,416,KR RAS: CRE stress testing + capital planning — reverse stress test shows a modest CRE loss breaches well-capitalized,22
cre_concentration,402,"KR RAS: CRE loan review, credit risk review, CECL/ALLL, CRE stress testing (>=300% of capital — supervisory concentration criteria)",20
rapid_growth,395,"KR RAS: BSA/AML scaling, Internal Audit, enterprise risk assessment; FDICIA Part 363 audit if crossing $1B, ICFR if crossing $5B",18
pre_enforcement,386,"KR RAS: PRE-ENFORCEMENT READINESS — risk assessment, Internal Audit, BSA/AML & remediation-readiness before regulators act",24
under_reserved,323,KR RAS: CECL model validation / reserve adequacy review,10
cd_concentration,298,KR RAS: construction & development loan review + credit risk management (>=100% of capital — supervisory concentration criteria),20
near_fdicia_1b,272,"KR RAS: FDICIA Part 363 annual independent audit + audit-committee independence (crossing $1B; threshold raised from $500M, effective 2026)",18
bsa_aml_scaling,252,KR RAS: BSA/AML program enhancement + independent testing (AML & Sanctions / OFAC),20
near_fdicia_5b,58,"KR RAS: FDICIA Part 363 ICFR management assessment + auditor attestation (crossing $5B; threshold raised from $1B, effective 2026)",20
near_10b_threshold,37,"KR RAS: $10B readiness — Consumer Compliance (CFPB), Durbin, expanded BSA/AML, Internal Audit, DFAST",22
